date,team,rank
2018-06-01,France,7
2018-06-01,Croatia,20
2018-06-01,Belgium,3
2018-06-01,Germany,1
2018-06-01,Mexico,15
2018-06-01,Japan,61
2018-06-01,Colombia,16
2018-06-01,Russia,70
2018-06-01,Saudi Arabia,67
2022-11-01,Argentina,3
2022-11-01,France,4
2022-11-01,Japan,24
2022-11-01,Spain,7
2022-11-01,Morocco,22
2022-11-01,Australia,38
2022-11-01,England,5
2022-11-01,Iran,20
2022-11-01,Qatar,50
2022-11-01,Ecuador,44
2022-11-01,Saudi Arabia,51
2023-09-01,Germany,15
2023-09-01,Japan,20
2024-03-01,France,2
2024-03-01,Chile,42
2026-01-01,United States,12
2026-01-01,Canada,32
2026-01-01,Mexico,14

