group,slot,team
A,A1,Mexico
A,A2,South Africa
A,A3,South Korea
A,A4,Czech Republic
B,B1,Canada
B,B2,Bosnia and Herzegovina
B,B3,Qatar
B,B4,Switzerland
C,C1,Brazil
C,C2,Morocco
C,C3,Haiti
C,C4,Scotland
D,D1,United States
D,D2,Paraguay
D,D3,Australia
D,D4,Turkey
E,E1,Germany
E,E2,Curacao
E,E3,Ivory Coast
E,E4,Ecuador
F,F1,Netherlands
F,F2,Japan
F,F3,Sweden
F,F4,Tunisia
G,G1,Belgium
G,G2,Egypt
G,G3,Iran
G,G4,New Zealand
H,H1,Spain
H,H2,Cape Verde
H,H3,Saudi Arabia
H,H4,Uruguay
I,I1,France
I,I2,Senegal
I,I3,Iraq
I,I4,Norway
J,J1,Argentina
J,J2,Algeria
J,J3,Austria
J,J4,Jordan
K,K1,Portugal
K,K2,DR Congo
K,K3,Uzbekistan
K,K4,Colombia
L,L1,England
L,L2,Croatia
L,L3,Ghana
L,L4,Panama
